annotation	emp_pval	enrich_per_mean_diff_by_genomstd	error	matched_25th	matched_5th	matched_75th	matched_95th	mean_matched_across_trait_loci	mean_trait_loci	median_matched_loci	median_trait_loci	n_lead_loci_final	n_lead_snp	n_matched_sets	partition_id	percent_matched_and_ld_removed	percent_trait_and_ld_snps_removed	regions_summary	std_matched_across_trait_loci	trait_name	trait_summary
fst_eur_eas	0.0	0.12468353068142926	False	0.0835967261222734	0.08109101923668262	0.08703200052771179	0.0896245552723742	0.08532016072384653	0.0968448975155797	0.08529822189369751	0.0648443	1380	1380	5000	(-0.02140582, -0.01169522]	3.1615150852645386	0.0	extreme	0.0025730083607426366	bolt_ht	mean
fst_eur_eas	0.0	0.13119166827624656	False	0.09553751525476521	0.09271960052702773	0.09940116985044925	0.102387975971275	0.09749350274107044	0.10961979911629256	0.0974455496223063	0.071278	1381	1381	5000	(-0.01169522, 0.011322640000000004]	4.138925651025286	0.0	extreme	0.0029091285560839085	bolt_ht	mean
fst_eur_eas	0.0	0.09923001158106802	False	0.08625406149034569	0.08372406555560688	0.08981801575864456	0.09246138406653188	0.08805200769473366	0.09722402711913046	0.08801047622375133	0.06895945	1380	1380	5000	(0.011322640000000004, 0.02013272]	2.754600738846263	0.0	extreme	0.0026276658241450226	bolt_ht	mean
fst_eur_eas	0.0432	0.03392094109782109	False	0.049036787858309186	0.0472991713407748	0.0514144991813802	0.05321325481051946	0.05022719518092672	0.053362572529833466	0.05018320599094203	0.0308459	1381	1381	5000	(0.02013272, 0.141562]	2.8847116833310507	0.0	extreme	0.0017964088968961188	bolt_ht	mean
xpehh_eas_eur	0.0006	0.10667425570699612	False	0.08077984342868942	0.04797094419898535	0.12456205688820574	0.15566001215872818	0.10254343133450297	0.21777846854173882	0.10271685298263147	0.272681116492258	1275	1381	5000	(-0.165814, -0.02140582]	17.444451845684153	6.9109075770191515	extreme	0.0328392323162262	bolt_ht	mean
xpehh_eas_eur	0.3824	0.010002443772064091	False	0.1838871446815063	0.14760804188435453	0.23341503992177556	0.27114337762011126	0.20890937118502406	0.2197145272425741	0.2093911587836691	0.280618807323728	1263	1380	5000	(-0.02140582, -0.01169522]	18.834479667686928	7.826847398338435	extreme	0.03704742985913548	bolt_ht	mean
xpehh_eas_eur	0.0028	0.0918004552973633	False	0.28869904851596384	0.25246508097882425	0.3386159436112364	0.3734502001468261	0.313447494978502	0.41261508524404217	0.3133929086182504	0.430805993742464	1277	1381	5000	(-0.01169522, 0.011322640000000004]	19.84405837212228	9.082903509875456	extreme	0.0366770168475798	bolt_ht	mean
xpehh_eas_eur	0.2364	0.024482363991699712	False	0.19825877659262997	0.1619420292278235	0.24788019746231224	0.28370286023022523	0.2230431011637303	0.2494902144508735	0.2235504498067183	0.335690602271888	1257	1380	5000	(0.011322640000000004, 0.02013272]	18.45795775314957	7.5589656152316	extreme	0.037122902332034774	bolt_ht	mean
xpehh_eas_eur	0.0258	0.0624655303727477	False	0.08735237441511998	0.05475662864737168	0.13406577099867845	0.16754149202399435	0.11081204862162736	0.17829053880622037	0.11081336809009354	0.20476873369395499	1258	1381	5000	(0.02013272, 0.141562]	17.268352280509518	9.149431584714423	extreme	0.034314469091752	bolt_ht	mean
betascore	0.0	-0.03409483973805683	False	1.2928612232888215	1.2010505961977265	1.428200814889876	1.5290052381214665	1.3615765344464565	1.0425102241172661	1.3600836115893282	-0.136455653958	1381	1381	5000	(-0.165814, -0.02140582]	2.888456841520955	0.0	extreme	0.10039388103064287	bolt_ht	mean
betascore	0.0004	-0.05680738917212837	False	4.400997010362012	4.233596574690976	4.632977773502407	4.810016250566769	4.517930790175084	3.986315912327343	4.512643398037534	0.2353164785245	1380	1380	5000	(-0.02140582, -0.01169522]	3.153388718845649	0.0	extreme	0.17299057393943895	bolt_ht	mean
betascore	0.0	-0.09458510504877952	False	6.203442903255559	5.992219225459378	6.509055132877575	6.722845916472329	6.357275729954363	5.4721294523395985	6.353415144248222	0.800379817965	1381	1381	5000	(-0.01169522, 0.011322640000000004]	4.130363567744371	0.0	extreme	0.22095197082885032	bolt_ht	mean
betascore	0.001	-0.060880719829732456	False	5.0762187510371275	4.8940880137423095	5.345027061066133	5.545056165352637	5.2130428708574135	4.643308952308571	5.2099651258977815	0.6917444940849999	1380	1380	5000	(0.011322640000000004, 0.02013272]	2.747632850241546	0.0	extreme	0.19619862024767434	bolt_ht	mean
betascore	0.0034	-0.028279694442125206	False	1.4241801752921759	1.325580219215323	1.563511706154836	1.6652069747277056	1.4941932817984553	1.2295462609528294	1.4917261450300345	-0.0676265159698	1381	1381	5000	(0.02013272, 0.141562]	2.8749349404191205	0.0	extreme	0.10383253158507554	bolt_ht	mean
xpehh_afr2_eur	0.0006	0.10587272840479278	False	-0.06749067271132228	-0.1032394304889378	-0.021535048633549218	0.012132169597588144	-0.044964215053524256	0.07039658069229845	-0.04543534151766693	0.181911328461124	1275	1381	5000	(-0.165814, -0.02140582]	17.437116291978906	6.9109075770191515	extreme	0.034575809600331395	bolt_ht	mean
xpehh_afr2_eur	0.0004	0.11323016379668252	False	-0.0820357202605955	-0.11737520243772953	-0.02786766655254764	0.010661979882320536	-0.05439617229375455	0.06898141506824093	-0.054531546906487705	0.188512355389097	1263	1380	5000	(-0.02140582, -0.01169522]	18.82391123742895	7.826847398338435	extreme	0.03941890878301982	bolt_ht	mean
xpehh_afr2_eur	0.0102	0.07925299756450407	False	-0.022947937756809554	-0.05864957767541125	0.02754912437598108	0.063392301786952	0.002375029742149859	0.08873049636738756	0.001948455210739298	0.22306915317145853	1278	1381	5000	(-0.01169522, 0.011322640000000004]	19.83430368599824	9.057743112341175	extreme	0.03729205473908345	bolt_ht	mean
xpehh_afr2_eur	0.0008	0.11456712928573867	False	-0.08233580622140482	-0.12116931842794254	-0.03034655287614223	0.008022781093153013	-0.05650146847362804	0.06833290011074725	-0.05637202240084853	0.158785684357327	1257	1380	5000	(0.011322640000000004, 0.02013272]	18.437989959268734	7.5589656152316	extreme	0.03942100945319986	bolt_ht	mean
xpehh_afr2_eur	0.0002	0.11697429176206366	False	-0.0756700253673514	-0.11098423692253977	-0.028375819410185493	0.006810275374177076	-0.05213506066368511	0.07532219469183875	-0.051888147627073236	0.22795272050798449	1258	1381	5000	(0.02013272, 0.141562]	17.257701684700727	9.149431584714423	extreme	0.03573513598744624	bolt_ht	mean
